# This file contains ~14,000 BRDF measurements
# for vegetation. This data was gathered using the
# Cloud Absorption Radiometer (CARs) sensor
# during the CLASIC mission over Oklahoma.
# This data is for 479 nm
# Visit https://car.gsfc.nasa.gov/ for raw data
# and more details.
# See Satellite Optical Brightness (Fankhauser et. al)
# for more information.
#
# phi_i     theta_i     phi_o     theta_o     brdf
30.420     180.000     29.500     309.000     2.93657e-01
30.420     180.000     69.500     301.000     2.21241e-01
30.420     180.000     72.500     198.000     1.34708e-01
30.420     180.000     77.500     119.000     1.65880e-01
30.420     180.000     65.500     317.000     2.66364e-01
30.420     180.000     50.000     325.000     3.37085e-01
30.420     180.000     84.500     323.000     3.40561e-01
30.420     180.000     10.000     281.000     2.39224e-01
30.420     180.000     17.500     7.000     4.41945e-01
30.420     180.000     59.500     284.000     1.71127e-01
30.420     180.000     67.000     272.000     1.62461e-01
30.420     180.000     47.500     302.000     2.23869e-01
30.420     180.000     32.000     161.000     9.60374e-02
30.420     180.000     69.500     162.000     1.21223e-01
30.420     180.000     62.500     222.000     1.14575e-01
30.420     180.000     22.000     225.000     1.27157e-01
30.420     180.000     46.000     5.000     4.29214e-01
30.420     180.000     45.000     313.000     2.87062e-01
30.420     180.000     52.000     14.000     4.28749e-01
30.420     180.000     10.500     172.000     1.51166e-01
30.420     180.000     73.000     330.000     3.22699e-01
30.420     180.000     75.500     250.000     1.61206e-01
30.420     180.000     22.500     27.000     4.31349e-01
30.420     180.000     2.000     84.000     2.11048e-01
30.420     180.000     26.500     116.000     1.29953e-01
30.420     180.000     55.000     245.000     1.19676e-01
30.420     180.000     52.000     100.000     1.21806e-01
30.420     180.000     63.000     268.000     1.49685e-01
30.420     180.000     47.000     2.000     4.31806e-01
30.420     180.000     14.500     244.000     1.57451e-01
30.420     180.000     57.500     202.000     9.92904e-02
30.420     180.000     29.500     295.000     2.55669e-01
30.420     180.000     4.500     128.000     1.93587e-01
30.420     180.000     20.500     289.000     2.43303e-01
30.420     180.000     48.000     232.000     1.06932e-01
30.420     180.000     4.000     248.000     1.95069e-01
30.420     180.000     21.500     181.000     1.13213e-01
30.420     180.000     37.500     220.000     1.03181e-01
30.420     180.000     4.500     176.000     1.80804e-01
30.420     180.000     27.500     225.000     1.16056e-01
30.420     180.000     13.000     190.000     1.41819e-01
30.420     180.000     15.000     85.000     1.96295e-01
30.420     180.000     30.500     264.000     1.51447e-01
30.420     180.000     32.000     235.000     1.14950e-01
30.420     180.000     13.000     263.000     1.87534e-01
30.420     180.000     64.000     4.000     3.70675e-01
30.420     180.000     7.500     48.000     2.51892e-01
30.420     180.000     79.000     344.000     3.81220e-01
30.420     180.000     13.500     303.000     2.67325e-01
30.420     180.000     50.500     210.000     9.82992e-02
30.420     180.000     78.500     13.000     3.80879e-01
30.420     180.000     42.500     288.000     1.86300e-01
30.420     180.000     59.000     149.000     9.75946e-02
30.420     180.000     9.000     167.000     1.59683e-01
30.420     180.000     0.500     76.000     2.11566e-01
30.420     180.000     9.500     152.000     1.58987e-01
30.420     180.000     77.500     249.000     1.70647e-01
30.420     180.000     54.000     352.000     4.45017e-01
30.420     180.000     11.500     124.000     1.61855e-01
30.420     180.000     12.000     241.000     1.65193e-01
30.420     180.000     33.500     56.000     2.49834e-01
30.420     180.000     78.000     346.000     3.85192e-01
30.420     180.000     36.500     186.000     9.13787e-02
30.420     180.000     19.500     251.000     1.52604e-01
30.420     180.000     67.000     259.000     1.45745e-01
30.420     180.000     33.500     250.000     1.26935e-01
30.420     180.000     66.500     327.000     3.16454e-01
30.420     180.000     33.500     161.000     9.41364e-02
30.420     180.000     44.000     250.000     1.21221e-01
30.420     180.000     43.500     161.000     8.75546e-02
30.420     180.000     9.000     98.000     1.89247e-01
30.420     180.000     71.000     109.000     1.45874e-01
30.420     180.000     23.500     184.000     1.08747e-01
30.420     180.000     31.000     46.000     3.16268e-01
30.420     180.000     4.500     131.000     1.87496e-01
30.420     180.000     78.000     82.000     2.03884e-01
30.420     180.000     60.000     185.000     9.90869e-02
30.420     180.000     81.500     273.000     2.09320e-01
30.420     180.000     41.000     151.000     9.12151e-02
30.420     180.000     57.500     343.000     3.99669e-01
30.420     180.000     65.000     234.000     1.23810e-01
30.420     180.000     20.000     303.000     2.72199e-01
30.420     180.000     2.500     223.000     1.98857e-01
30.420     180.000     27.500     227.000     1.16381e-01
30.420     180.000     3.500     327.000     2.49370e-01
30.420     180.000     48.500     117.000     1.04393e-01
30.420     180.000     81.500     171.000     1.73548e-01
30.420     180.000     3.500     113.000     2.09598e-01
30.420     180.000     73.000     285.000     1.96575e-01
30.420     180.000     34.000     130.000     1.05954e-01
30.420     180.000     1.500     215.000     2.02572e-01
30.420     180.000     57.500     110.000     1.15088e-01
30.420     180.000     29.500     195.000     1.00629e-01
30.420     180.000     22.500     0.000     3.93259e-01
30.420     180.000     18.500     54.000     2.77861e-01
30.420     180.000     65.000     232.000     1.22389e-01
30.420     180.000     44.500     76.000     1.67572e-01
30.420     180.000     60.000     255.000     1.32864e-01
30.420     180.000     37.000     135.000     9.96296e-02
30.420     180.000     1.000     236.000     2.03246e-01
30.420     180.000     21.000     193.000     1.14654e-01
30.420     180.000     61.500     284.000     1.73469e-01
30.420     180.000     67.000     215.000     1.20605e-01
30.420     180.000     0.500     262.000     2.10571e-01
30.420     180.000     12.500     276.000     2.25457e-01
30.420     180.000     5.000     94.000     2.00639e-01
30.420     180.000     90.000     88.000     1.74836e-01
30.420     180.000     10.000     358.000     3.27744e-01
30.420     180.000     24.500     22.000     4.31731e-01
30.420     180.000     76.000     137.000     1.54645e-01
30.420     180.000     30.000     273.000     1.73496e-01
30.420     180.000     79.500     226.000     1.68378e-01
30.420     180.000     22.000     18.000     3.97520e-01
30.420     180.000     1.500     242.000     2.03707e-01
30.420     180.000     82.000     85.000     2.11378e-01
30.420     180.000     17.000     303.000     2.73141e-01
30.420     180.000     4.000     88.000     2.28163e-01
30.420     180.000     23.500     230.000     1.25807e-01
30.420     180.000     81.500     212.000     1.77705e-01
30.420     180.000     89.000     163.000     1.92341e-01
30.420     180.000     23.000     74.000     2.10028e-01
30.420     180.000     6.000     336.000     2.43515e-01
30.420     180.000     78.500     58.000     2.57403e-01
