# This data is brightness observations of selected
# Starlink v1.5 satellites by the Pomenis observatory
# All data was collected at Mount Lemmon, Arizona
# (32.4434° N, 110.7881° W)
# All observations in this data correspond to
# satellites with the same brightness configuration
# A list of satellites with this brightness configuration
# is given in brightness_config_list.csv
# See Satellite Optical Brightness (Fankhauser et. al 2023)
# for more information
#
# ------------ Units -----------------
# Observation Time : UTC
# Satellite Height : kilometers
# Satellite Altitude : degrees (HCS)
# Satellite Azimuth : degrees (HCS)

observation_time,satellite_height,satellite_altitude,satellite_azimuth,ab_magnitude
2022-04-03T12:04:36,542.8038425,21.45127134,57.57077364,6.000081336
2022-04-03T11:52:31,541.821822,26.12291289,320.358438,5.690062603
2022-04-03T12:14:52,543.201519,28.13497983,41.04307536,6.053466058
2022-04-03T11:22:24,540.6110438,57.22783636,85.93743396,5.046474223
2022-04-03T11:36:14,541.6075339,35.17725838,329.0084916,6.568699871
2022-04-03T11:30:44,541.3431765,39.13136364,331.2501943,6.278246135
2022-04-04T11:59:10,542.146021,48.71957998,116.1227814,9.681918495
2022-04-04T11:47:54,542.2801185,47.32710987,87.62246583,5.970578274
2022-04-04T12:11:31,542.8707752,40.09989651,34.51670547,6.699854297
2022-04-04T11:50:10,542.9277201,25.22218902,54.71077078,6.566878225
2022-04-04T11:41:24,542.5632376,49.01257265,32.49070195,6.097827271
2022-04-04T11:52:23,542.4239608,62.02694477,19.6177111,6.383991746
2022-04-04T12:04:47,541.7393034,47.69456634,129.8820019,6.861827899
2022-04-04T11:24:15,540.7867092,69.60560385,323.2994228,6.574264221
2022-04-07T02:57:08,539.9678073,55.21986161,230.793718,6.125846149
2022-04-07T02:52:47,540.5152665,74.41599268,62.26791705,5.158941212
2022-04-07T03:04:23,540.974078,51.34407037,23.28651648,6.366713264
2022-04-07T03:06:37,540.1758848,41.26595313,105.8113528,5.00714307
2022-04-07T02:46:29,540.0956508,64.62809683,184.2567862,5.778969061
2022-04-07T10:33:56,543.2474095,21.62704664,42.56780265,5.752412192
2022-04-07T11:59:48,541.1781801,21.69203927,226.5762371,7.088039524
2022-04-07T11:29:10,542.1067318,66.84412226,56.4517984,5.605549509
2022-04-07T11:50:16,543.4328813,21.04138727,33.25444606,7.499681528
2022-04-08T03:00:30,540.9121096,47.62677274,325.3777043,5.651312663
2022-04-08T03:11:16,540.9801353,37.79341071,314.4652457,5.1223617
2022-04-08T02:43:08,540.253497,58.67991211,258.4257788,5.146313391
2022-04-08T03:04:24,540.2825181,30.04540569,269.0558181,6.895959848
2022-04-08T11:37:49,541.4221931,44.8145714,176.6024835,6.098359902
2022-04-08T11:16:20,541.6418591,37.42533644,128.6934214,6.865469807
2022-04-08T11:20:10,542.01436,81.63143638,312.5090874,5.591825894
2022-04-08T11:52:55,542.9177589,32.1995276,41.07265184,5.861142146
2022-04-08T11:59:48,542.1861526,27.5700649,82.14674157,6.617068286
2022-04-09T02:56:35,540.9841892,31.06812384,301.1930733,6.407163371
2022-04-09T02:59:13,540.0757803,66.83799967,263.9956222,6.024166673
2022-04-09T11:05:48,543.1861429,20.12655691,44.59185877,6.2852117
2022-04-09T11:43:51,539.9189539,20.02541301,109.6990038,7.852007166
2022-04-23T03:30:33,541.1345633,48.20487378,329.887619,5.688438239
2022-04-23T03:14:26,541.0753911,56.35784073,16.23127797,5.750601631
2022-04-23T04:09:41,542.2793244,22.23527609,336.5453379,7.419998363
