# This file contains the BRDF of the chassis
# of selected Starlink v1.5 satellites
# This BRDF applies to satellites with 
# NORAD IDs given in brightness_config_list.csv
# (phi_i, theta_i) are the zenith and azimuth angles
# of ingoing light
# (phi_o, theta_o) are the zenith and azimuth angles
# of scattered light
# This data was measured by Scatterworks
# and is at a wavelength lambda = 532 nm
# See Satellite Optical Brightness (Fankhauser et. al 2023)
# for more information
#
# phi_i     theta_i     phi_o     theta_o     brdf
75.00     -180.00     25.00     0.00     3.64207e-02
75.00     -180.00     26.00     0.00     3.90458e-02
75.00     -180.00     27.00     0.00     4.01104e-02
75.00     -180.00     28.00     0.00     4.27131e-02
75.00     -180.00     29.00     0.00     4.54741e-02
75.00     -180.00     30.00     0.00     4.86586e-02
75.00     -180.00     31.00     0.00     5.09065e-02
75.00     -180.00     32.00     0.00     5.49998e-02
75.00     -180.00     33.00     0.00     5.81185e-02
75.00     -180.00     34.00     0.00     6.28986e-02
75.00     -180.00     35.00     0.00     6.75522e-02
75.00     -180.00     36.00     0.00     7.28246e-02
75.00     -180.00     37.00     0.00     7.94237e-02
75.00     -180.00     38.00     0.00     8.57285e-02
75.00     -180.00     39.00     0.00     9.38374e-02
75.00     -180.00     40.00     0.00     1.02706e-01
75.00     -180.00     41.00     0.00     1.13380e-01
75.00     -180.00     42.00     0.00     1.24858e-01
75.00     -180.00     43.00     0.00     1.37464e-01
75.00     -180.00     44.00     0.00     1.52895e-01
75.00     -180.00     45.00     0.00     1.70920e-01
75.00     -180.00     46.00     0.00     1.92803e-01
75.00     -180.00     47.00     0.00     2.14346e-01
75.00     -180.00     48.00     0.00     2.41350e-01
75.00     -180.00     49.00     0.00     2.72833e-01
75.00     -180.00     50.00     0.00     3.07054e-01
75.00     -180.00     51.00     0.00     3.48680e-01
75.00     -180.00     52.00     0.00     3.97342e-01
75.00     -180.00     53.00     0.00     4.43391e-01
75.00     -180.00     54.00     0.00     5.17680e-01
75.00     -180.00     55.00     0.00     5.87692e-01
75.00     -180.00     56.00     0.00     6.60580e-01
75.00     -180.00     57.00     0.00     7.60665e-01
75.00     -180.00     58.00     0.00     8.82571e-01
75.00     -180.00     59.00     0.00     1.03779e+00
75.00     -180.00     60.00     0.00     1.20566e+00
75.00     -180.00     61.00     0.00     1.37845e+00
75.00     -180.00     62.00     0.00     1.55348e+00
75.00     -180.00     63.00     0.00     1.80470e+00
75.00     -180.00     64.00     0.00     2.20045e+00
75.00     -180.00     65.00     0.00     2.74897e+00
75.00     -180.00     66.00     0.00     3.34200e+00
75.00     -180.00     67.00     0.00     3.95524e+00
75.00     -180.00     68.00     0.00     4.73410e+00
75.00     -180.00     69.00     0.00     6.17445e+00
75.00     -180.00     70.00     0.00     1.10403e+01
75.00     -180.00     71.00     0.00     1.72340e+01
75.00     -180.00     72.00     0.00     3.32054e+01
75.00     -180.00     73.00     0.00     1.00177e+02
75.00     -180.00     74.00     0.00     9.06612e+02
75.00     -180.00     75.00     0.00     8.03803e+03
75.00     -180.00     76.00     0.00     2.15426e+03
75.00     -180.00     77.00     0.00     3.02341e+02
75.00     -180.00     78.00     0.00     1.40087e+02
75.00     -180.00     79.00     0.00     9.06283e+01
75.00     -180.00     80.00     0.00     4.78013e+01
75.00     -180.00     81.00     0.00     2.80281e+01
75.00     -180.00     82.00     0.00     2.19023e+01
75.00     -180.00     83.00     0.00     1.78426e+01
75.00     -180.00     84.00     0.00     1.35469e+01
75.00     -180.00     85.00     0.00     1.04977e+01
75.00     -180.00     86.00     0.00     8.89878e+00
75.00     -180.00     87.00     0.00     8.57794e+00
75.00     -180.00     88.00     0.00     7.90155e+00
75.00     -180.00     89.00     0.00     7.12184e+00
75.00     -180.00     90.00     0.00     1.00000e-04
60.00     -180.00     -90.00     0.00     1.00000e-04
60.00     -180.00     -89.00     0.00     1.00000e-04
60.00     -180.00     -88.00     0.00     3.50684e-03
60.00     -180.00     -87.00     0.00     7.15249e-03
60.00     -180.00     -86.00     0.00     1.04354e-02
60.00     -180.00     -85.00     0.00     1.46780e-02
60.00     -180.00     -84.00     0.00     1.45271e-02
60.00     -180.00     -83.00     0.00     1.50213e-02
60.00     -180.00     -82.00     0.00     1.52266e-02
60.00     -180.00     -81.00     0.00     1.54941e-02
60.00     -180.00     -80.00     0.00     1.55720e-02
60.00     -180.00     -79.00     0.00     1.53605e-02
60.00     -180.00     -78.00     0.00     1.51097e-02
60.00     -180.00     -77.00     0.00     1.47502e-02
60.00     -180.00     -76.00     0.00     1.45542e-02
60.00     -180.00     -75.00     0.00     1.43740e-02
60.00     -180.00     -74.00     0.00     1.43814e-02
60.00     -180.00     -73.00     0.00     1.40105e-02
60.00     -180.00     -72.00     0.00     1.37615e-02
60.00     -180.00     -71.00     0.00     1.35551e-02
60.00     -180.00     -70.00     0.00     1.35783e-02
